Court Name,Data element,Data element (group),Jurisdiction,Response,Sheet Name,State,Subject,Year,"Race, Gender, Ethnicity"
Circuit,Source of Authority,Source of Authority,General,State legislation,Trial Courts,Alabama,Trial Court Data Reported,2020,
Circuit,Geographic Jurisdiction,Geographic Jurisdiction,General,District/Circuit/Vicinage,Trial Courts,Alabama,Trial Court Data Reported,2020,
Circuit,Number of Courts,Number of Courts,General,41,Trial Courts,Alabama,Trial Court Data Reported,2020,
Circuit,Total Judges,Total Judges,General,146,Trial Courts,Alabama,Trial Court Data Reported,2020,
Circuit,Male,Gender,General,110,Trial Courts,Alabama,Trial Court Data Reported,2020,110
Circuit,Female,Gender,General,36,Trial Courts,Alabama,Trial Court Data Reported,2020,36
Circuit,Transgender,Gender,General,0,Trial Courts,Alabama,Trial Court Data Reported,2020,0
Circuit,Non-Binary/Other,Gender,General,0,Trial Courts,Alabama,Trial Court Data Reported,2020,0
Circuit,Gender Unknown,Gender,General,0,Trial Courts,Alabama,Trial Court Data Reported,2020,0
Circuit,White,Race,General,114,Trial Courts,Alabama,Trial Court Data Reported,2020,114
Circuit,Black/  African American,Race,General,32,Trial Courts,Alabama,Trial Court Data Reported,2020,32
Circuit,American Indian/ Alaska Native,Race,General,0,Trial Courts,Alabama,Trial Court Data Reported,2020,0
Circuit,Asian,Race,General,0,Trial Courts,Alabama,Trial Court Data Reported,2020,0
Circuit,Native Hawaiian/ Pacific Islander,Race,General,0,Trial Courts,Alabama,Trial Court Data Reported,2020,0
Circuit,More than one race,Race,General,0,Trial Courts,Alabama,Trial Court Data Reported,2020,0
Circuit,Other Race,Race,General,0,Trial Courts,Alabama,Trial Court Data Reported,2020,0
Circuit,Race Unknown,Race,General,0,Trial Courts,Alabama,Trial Court Data Reported,2020,0
Circuit,Hispanic or Latinx,Ethnicity,General,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Circuit,Not Hispanic or Latinx,Ethnicity,General,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Circuit,Ethnicity Unknown,Ethnicity,General,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
District,Source of Authority,Source of Authority,Limited,State legislation,Trial Courts,Alabama,Trial Court Data Reported,2020,
District,Geographic Jurisdiction,Geographic Jurisdiction,Limited,County,Trial Courts,Alabama,Trial Court Data Reported,2020,
District,Number of Courts,Number of Courts,Limited,67,Trial Courts,Alabama,Trial Court Data Reported,2020,
District,Total Judges,Total Judges,Limited,106,Trial Courts,Alabama,Trial Court Data Reported,2020,
District,Male,Gender,Limited,73,Trial Courts,Alabama,Trial Court Data Reported,2020,73
District,Female,Gender,Limited,33,Trial Courts,Alabama,Trial Court Data Reported,2020,33
District,Transgender,Gender,Limited,0,Trial Courts,Alabama,Trial Court Data Reported,2020,0
District,Non-Binary/Other,Gender,Limited,0,Trial Courts,Alabama,Trial Court Data Reported,2020,0
District,Gender Unknown,Gender,Limited,0,Trial Courts,Alabama,Trial Court Data Reported,2020,0
District,White,Race,Limited,90,Trial Courts,Alabama,Trial Court Data Reported,2020,90
District,Black/  African American,Race,Limited,16,Trial Courts,Alabama,Trial Court Data Reported,2020,16
District,American Indian/ Alaska Native,Race,Limited,0,Trial Courts,Alabama,Trial Court Data Reported,2020,0
District,Asian,Race,Limited,0,Trial Courts,Alabama,Trial Court Data Reported,2020,0
District,Native Hawaiian/ Pacific Islander,Race,Limited,0,Trial Courts,Alabama,Trial Court Data Reported,2020,0
District,More than one race,Race,Limited,0,Trial Courts,Alabama,Trial Court Data Reported,2020,0
District,Other Race,Race,Limited,0,Trial Courts,Alabama,Trial Court Data Reported,2020,0
District,Race Unknown,Race,Limited,0,Trial Courts,Alabama,Trial Court Data Reported,2020,0
District,Hispanic or Latinx,Ethnicity,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
